Round,Micro mAP,Macro mAP,Pruning Mask Round,Pruning Rate
1,0.3154,,,
1,,0.2676,,
2,0.4264,,,
2,,0.3162,,
3,0.612,,,
3,,0.3716,,
4,0.2882,,4,0.9
4,,0.1345,4,0.9
5,0.3233,,4,0.9
5,,0.1682,4,0.9
6,0.3178,,4,0.9
6,,0.1945,4,0.9
7,0.3505,,4,0.9
7,,0.2118,4,0.9
8,0.2936,,4,0.9
8,,0.1832,4,0.9
9,0.2938,,4,0.9
9,,0.2007,4,0.9
10,0.2794,,4,0.9
10,,0.1793,4,0.9
11,0.2719,,4,0.9
11,,0.1907,4,0.9
12,0.2727,,4,0.9
12,,0.1902,4,0.9
13,0.2722,,4,0.9
13,,0.1873,4,0.9
14,0.2694,,4,0.9
14,,0.184,4,0.9
15,0.2713,,4,0.9
15,,0.1851,4,0.9
16,0.2608,,4,0.9
16,,0.1844,4,0.9
17,0.2697,,4,0.9
17,,0.1879,4,0.9
18,0.2712,,4,0.9
18,,0.1834,4,0.9
19,0.272,,4,0.9
19,,0.1807,4,0.9
20,0.2669,,4,0.9
20,,0.1863,4,0.9
21,0.2644,,4,0.9
21,,0.1827,4,0.9
22,0.2749,,4,0.9
22,,0.1814,4,0.9
23,0.278,,4,0.9
23,,0.1781,4,0.9
24,0.2813,,4,0.9
24,,0.1811,4,0.9
25,0.2686,,4,0.9
25,,0.1751,4,0.9
